18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/PopupMenu' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/PopupMenu' windows added. (0x4386420)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/MenuItem' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/MenuItem' windows added. (0x43866d0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/MultiColumnList' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/MultiColumnList' windows added. (0x4386870)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/MultiLineEditbox' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/MultiLineEditbox' windows added. (0x4386a10)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/ProgressBar' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/ProgressBar' windows added. (0x4386bb0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/ScrollablePane' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/ScrollablePane' windows added. (0x4386d50)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Scrollbar' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Scrollbar' windows added. (0x4386ef0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Slider' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Slider' windows added. (0x4387090)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Spinner' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Spinner' windows added. (0x4387230)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/TabButton' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/TabButton' windows added. (0x43873d0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/TabControl' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/TabControl' windows added. (0x4387570)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Thumb' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Thumb' windows added. (0x4387710)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Titlebar' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Titlebar' windows added. (0x43878b0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Tooltip' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Tooltip' windows added. (0x4387a50)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/ItemListbox' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/ItemListbox' windows added. (0x4387bf0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/GroupBox' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/GroupBox' windows added. (0x4387d90)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'CEGUI/Tree' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'CEGUI/Tree' windows added. (0x4387f30)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'HorizontalLayoutContainer' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'HorizontalLayoutContainer' windows added. (0x43865c0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'VerticalLayoutContainer' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'VerticalLayoutContainer' windows added. (0x43883c0)
18/07/2017 12:01:33 (Std) 	Created WindowFactory for 'GridLayoutContainer' windows.
18/07/2017 12:01:33 (Std) 	WindowFactory for 'GridLayoutContainer' windows added. (0x4388560)
18/07/2017 12:01:33 (Std) 	Window type alias named 'DefaultGUISheet' added for window type 'DefaultWindow'.
18/07/2017 12:01:33 (Std) 	CEGUI::System singleton created. (0x437f060)
18/07/2017 12:01:33 (Std) 	---- CEGUI System initialisation completed ----
18/07/2017 12:01:33 (Std) 	
18/07/2017 12:01:33 (Std) 	Started creation of Scheme from XML specification:
18/07/2017 12:01:33 (Std) 	---- CEGUI GUIScheme name: TaharezLook
18/07/2017 12:01:33 (Std) 	Started creation of Imageset from XML specification:
18/07/2017 12:01:33 (Std) 	---- CEGUI Imageset name: TaharezLook
18/07/2017 12:01:33 (Std) 	---- Source texture file: TaharezLook.tga in resource group: (Default)
18/07/2017 12:01:33 (Std) 	Started creation of Font from XML specification:
18/07/2017 12:01:33 (Std) 	---- CEGUI font name: DejaVuSans-10
18/07/2017 12:01:33 (Std) 	----       Font type: FreeType
18/07/2017 12:01:33 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
18/07/2017 12:01:33 (Std) 	---- Real point size: 10
18/07/2017 12:01:33 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
18/07/2017 12:01:33 (Std) 	===== Look and feel parsing completed =====
18/07/2017 12:01:33 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Button' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Button' added. (0x4ac53b0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Default' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Default' added. (0x47dce00)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Editbox' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Editbox' added. (0x4829c40)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/FrameWindow' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/FrameWindow' added. (0x47dd060)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ItemEntry' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ItemEntry' added. (0x47dd120)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (0x4b90f10)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (0x4ba75f0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (0x4ba7790)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (0x4b98d70)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (0x4ac4c80)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (0x4ac4e20)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (0x4ac4fc0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (0x4ac5160)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (0x4ba1430)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (0x4ba15d0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (0x4ba1770)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (0x4ba1910)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Static' added. (0x4ba1bc0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (0x4ba1d60)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (0x4ba1f00)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (0x4ba20a0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (0x4ba2240)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (0x4ba23e0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (0x4ba2580)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (0x4ac1fa0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (0x4ac2140)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (0x4ac22e0)
18/07/2017 12:01:33 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
18/07/2017 12:01:33 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (0x4ac2480)
18/07/2017 12:01:33 (Std) 	Creating falagard mapping for type 'TaharezLook/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'TaharezLook/Button' and RenderEffect ''. (0x7fffdc0abed0)
18/07/2017 12:01:33 (Std) 	Creating falagard mapping for type 'TaharezLook/Checkbox' using base type 'CEGUI/Checkbox', window renderer 'Falagard/ToggleButton' Look'N'Feel 'TaharezLook/Checkbox' and RenderEffect ''. (0x7fffdc0abed0)
